Дата,Тип,Категория,Описание,Сумма,Местоположение,Способ оплаты,Карта,Время
2023-01-01,Расход,Еда,Покупка продуктов,5000,Супермаркет "Магнит",Карта Visa,**** **** **** 1234,10:00
2023-01-02,Расход,Транспорт,Заправка топливом,2000,АЗС "Лукойл",Карта MasterCard,**** **** **** 5678,15:30
2023-01-03,Расход,Жилье,Аренда квартиры,10000,Управляющая компания,Банковский перевод,**** **** **** 1234,08:45
2023-01-04,Расход,Развлечения,Кинотеатр,800,Кинотеатр "Синема Парк",Карта Visa,**** **** **** 5678,20:15
2023-01-05,Расход,Здоровье,Посещение врача,1500,Клиника "Здоровье",Банковский перевод,**** **** **** 1234,14:20
2023-01-06,Расход,Еда,Ресторан,2500,Ресторан "La Trattoria",Карта MasterCard,**** **** **** 5678,19:00
2023-01-07,Расход,Транспорт,Билеты на общественный транспорт,500,Остановка "Парковая",Наличные,Наличные,09:30
2023-01-08,Расход,Жилье,Коммунальные платежи,4000,Управляющая компания,Банковский перевод,**** **** **** 1234,16:55
2023-01-09,Расход,Развлечения,Концерт,1200,Концертный зал "Музик Холл",Карта Visa,**** **** **** 5678,21:45
2023-01-10,Расход,Здоровье,Аптека,300,Аптека "Здоровье",Наличные,Наличные,11:10
2023-02-01,Расход,Еда,Покупка продуктов,4800,Супермаркет "Ашан",Карта Visa,**** **** **** 1234,09:15
2023-02-02,Расход,Транспорт,Заправка топливом,2200,АЗС "Газпромнефть",Карта MasterCard,**** **** **** 5678,16:20
2023-02-03,Расход,Жилье,Аренда квартиры,10000,Управляющая компания,Банковский перевод,**** **** **** 1234,08:30
2023-02-04,Расход,Развлечения,Кинотеатр,700,Кинотеатр "КиноМир",Карта Visa,**** **** **** 5678,19:45
2023-02-05,Доход,Зарплата,Зарплата за январь,25000,ООО "Компания",Банковский перевод,**** **** **** 1234,12:00
2023-02-06,Расход,Еда,Ресторан,2800,Ресторан "Мама Рима",Карта MasterCard,**** **** **** 5678,20:30
2023-02-07,Доход,Дивиденды,Дивиденды по акциям,3000,Инвестиционная компания,Банковский перевод,**** **** **** 1234,14:30
2023-02-08,Расход,Жилье,Коммунальные платежи,4200,Управляющая компания,Банковский перевод,**** **** **** 5678,16:45
2023-02-09,Расход,Развлечения,Концерт,1100,Концертный зал "Музик Холл",Карта Visa,**** **** **** 1234,22:15
2023-02-10,Доход,Доход от инвестиций,Доход от акций,500,Инвестиционная компания,Банковский перевод,**** **** **** 5678,11:30
2023-03-01,Расход,Еда,Покупка продуктов,4500,Супермаркет "Лента",Карта Visa,**** **** **** 1234,10:15
2023-03-02,Расход,Транспорт,Билеты на метро,300,Станция метро "Парк Культуры",Карта MasterCard,**** **** **** 5678,08:30
2023-03-03,Расход,Жилье,Квартплата,8500,Управляющая компания,Банковский перевод,**** **** **** 1234,09:45
2023-03-04,Доход,Доход от инвестиций,Доход от акций,750,Инвестиционная компания,Банковский перевод,**** **** **** 5678,14:20
